date,Total,DeepSeek,OpenAI,Anthropic,Google,Zhipu,Qwen,Minimax,Moonshot,Mistral,xAI,Tencent,Xiaomi,Meta,Nvidia,Other,Stepfun,OpenRouter,Poolside,Stealth,Inclusionai,Arcee,Cohere,Nex-agi,Tngtech,Upstage,Kwaipilot,Perplexity,Baai,Microsoft,Bytedance-seed,Sentence-transformers
2025-12-16,885.6964,60.7902,126.9837,133.5348,206.5697,16.2306,24.0166,19.1659,4.2116,27.6697,129.8913,0.0000,0.0000,2.9929,9.2434,88.7785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4578,16.1292,0.0000,14.0305,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-17,923.6046,63.8570,143.0435,134.4260,207.9383,14.6735,29.3730,12.3031,3.4089,29.9988,126.1342,0.0000,20.1366,3.8247,7.6324,91.1963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3342,13.8291,0.0000,15.4950,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-18,900.4835,61.7600,134.0775,128.1495,208.4535,14.7341,26.4689,8.4260,7.4026,28.5265,134.2587,0.0000,10.3820,6.3902,9.0185,88.9051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4201,12.7484,0.0000,14.3619,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-19,858.3105,60.7342,102.1120,123.8729,187.3360,12.3556,32.6102,10.3047,9.2583,30.1072,132.5587,0.0000,30.8945,7.5273,2.9973,84.1994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6226,11.2557,0.0000,13.5637,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-20,691.5753,57.2762,56.2850,81.9872,159.7243,15.0029,22.2936,11.2190,5.3228,30.1728,97.4138,0.0000,48.2672,3.2421,0.0000,69.4775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1757,15.1701,0.0000,13.5450,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-21,718.6529,62.7984,51.7072,91.9237,161.2023,14.6855,16.3946,12.3955,2.8236,34.7280,99.0774,0.0000,59.9133,10.4102,0.0000,62.8186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1659,16.4191,0.0000,15.1897,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-22,895.7109,73.5038,88.5397,128.8443,202.1474,11.8314,15.7151,14.7396,5.5138,40.7585,130.0849,0.0000,58.5944,8.3571,0.0000,75.4896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0726,14.9354,0.0000,19.5832,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-23,919.8936,76.7548,82.8221,115.7095,189.5532,14.9006,17.5539,16.4487,3.5453,44.1484,132.2957,0.0000,56.7620,5.7474,35.2330,80.7843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9780,15.9628,0.0000,23.6939,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-24,832.0208,76.6458,69.7842,113.5967,174.3503,17.3372,24.2216,19.9347,4.8871,32.1685,120.9891,0.0000,56.8931,5.8085,0.0000,74.3251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4402,14.7411,0.0000,18.8975,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-25,737.2623,73.2386,62.8940,86.6439,172.5036,14.5592,15.5005,21.8115,4.1727,23.6418,101.2012,0.0000,53.4269,5.6469,0.0000,67.2204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7940,14.4405,0.0000,12.5668,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-26,817.2277,78.7925,72.7480,95.4871,178.9045,18.7201,19.4085,22.7845,3.9139,33.2238,116.5738,0.0000,58.7757,6.0043,0.0000,74.5985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4919,15.2999,0.0000,13.5005,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-27,733.6244,85.0073,55.4912,84.7190,170.0716,21.3672,15.8258,19.2114,3.7789,26.6012,97.3633,0.0000,44.2579,9.9011,0.0000,62.4959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6057,15.3963,0.0000,13.5307,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-28,729.2096,83.1926,64.8387,87.0315,158.3356,16.3570,13.4753,22.1895,3.6564,28.3848,91.1939,0.0000,50.0445,12.4197,0.0000,61.6358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4493,14.8126,0.0000,13.1924,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-29,908.4897,83.3646,76.9742,111.8037,213.4684,18.4764,22.7192,26.3353,3.9932,38.7254,121.0271,0.0000,56.4857,14.6372,0.0000,76.3748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2354,15.4018,0.0000,19.4672,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-30,875.7111,83.8658,84.9767,105.4782,193.9559,23.1470,22.1893,25.4205,3.6594,30.4309,114.8085,0.0000,59.6322,9.7449,0.0000,77.6085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3244,15.1163,0.0000,16.3527,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-31,768.6521,77.1763,67.3893,95.3682,174.5154,21.0909,14.2235,20.8120,3.4327,27.2568,98.0428,0.0000,53.6087,6.9353,3.4354,70.0453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2212,13.4591,0.0000,12.6391,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-01,676.1466,76.2286,50.4856,79.7597,157.7612,17.7770,12.5685,18.5710,2.5048,26.9842,83.9008,0.0000,44.1177,10.7014,0.0000,61.4298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2751,13.1513,0.0000,10.9298,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-02,780.4330,84.5712,57.0522,93.6644,181.5717,21.2694,12.7589,23.5154,3.5385,30.0787,105.4350,0.0000,46.1351,10.9320,0.0000,72.0924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6782,14.9107,0.0000,13.2292,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-03,752.4942,84.3510,56.3106,91.0934,169.8803,22.3425,10.1632,20.2310,5.9999,29.6710,97.5894,0.0000,46.7893,9.9121,0.0000,69.9742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2260,14.7043,0.0000,13.2558,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-04,804.6147,83.0981,54.9777,106.9286,182.1606,22.3648,9.8669,22.3821,11.8408,36.5521,110.0366,0.0000,44.2602,12.3708,0.0000,70.5454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0921,14.1202,0.0000,13.0177,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-05,920.3857,75.5938,76.7492,145.1435,220.6065,25.5537,7.1084,29.5699,9.0854,31.1565,116.3536,0.0000,56.2976,8.0269,2.9800,84.5197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2226,14.6699,0.0000,7.7485,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-06,963.4147,66.0567,108.5483,164.2375,233.3612,26.6175,14.5381,27.4762,3.8163,29.7373,125.4309,0.0000,52.2809,4.3357,0.0000,78.4410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4211,14.9569,0.0000,6.1591,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-07,1017.2148,72.2535,107.7380,199.1280,233.8574,25.6228,16.6248,34.3500,4.2710,32.6794,119.0134,0.0000,50.4376,6.8592,0.0000,85.2717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0471,14.4206,0.0000,6.6402,0.0000,0.0000,0.0000,0.0000,0.0000
